ban,e_1,e_2,e_3,e_4,ban_1,ban_2
12005770,105413524,105413545,105413551,105413554,12006228,12006439
12005840,105413524,105413545,105413551,105413554,12040802,12040852
12005860,105413524,105413545,105413551,105413554,12040806,12040887
12005866,105413524,105413545,105413551,105413554,12040811,12040891
12005958,105413558,105413566,105413806,105413813,12006202,12006426
12005996,105413524,105413545,105413551,105413554,12006228,12006439
12006020,105413524,105413545,105413551,105413554,12040802,12040852
12006063,105413524,105413545,105413551,105413554,12040806,12040887
12006078,105413524,105413545,105413551,105413554,12040811,12040891
12006159,105413524,105413545,105413551,105413554,12006228,12006439
12006184,105413524,105413545,105413551,105413554,12040802,12040852
12006198,105413524,105413545,105413551,105413554,12040806,12040887
12006202,105413524,105413545,105413551,105413554,12040811,12040891
12006272,105413700,105414085,105414127,105414123,12040848,12006272
12006316,105413524,105413545,105413551,105413554,12006228,12006439
12006343,105413524,105413545,105413551,105413554,12006232,12040794
12006355,105413524,105413545,105413551,105413554,12040802,12040852
12006372,105413524,105413545,105413551,105413554,12040806,12040887
12006419,105413524,105413545,105413551,105413554,12040811,12040891
12040806,105413558,105413566,105413806,105413813,12006202,12006426
12040838,105413524,105413545,105413551,105413554,12006232,12040794
12040852,105413524,105413545,105413551,105413554,12040806,1204088712005770,105413700,105414085,105414127,105414123,12006184,12006372
12005840,105413558,105413566,105413806,105413813,12006202,12006426
12005860,105413524,105413545,105413551,105413554,12006228,12006439
12005866,105413524,105413545,105413551,105413554,12006232,12040794
12005958,105413524,105413545,105413551,105413554,12040802,12040852
12005996,105413524,105413545,105413551,105413554,12040806,12040887
12006020,105413524,105413545,105413551,105413554,12040811,12040891
12006063,105413578,105413885,105414155,105413739,12040838,12040892
12006078,105413586,105413905,105414166,105413769,12040848,12006272
12006159,105413700,105414085,105414127,105414123,12040848,12006272
